questID,questName,englishQuestName,
111,万年吊车尾,The Crane Tail,
112,猪突猛进,Boar’s Strike,
113,河马的飞天术,Flying Hippo I,
121,红兔子的执念,Faith of Fire Rabbit,
122,独眼怪修行,Training of Cyclops,
123,火焰之主,Lord of the Flame ,
131,蓝兔子的执念,Faith of Blue Rabbit,
132,雪怪传说,Legend of Yeti,
133,冰雪之主,Lord of the Ice,
141,绿兔子的执念,Faith of Green Rabbit,
142,飞天河马再出手,Flying Hippo II,
143,暴风之主,Lord of the Storm ,
151,黄兔子巡逻兵,Yellow Rabbit Patrol ,
152,猴子小队长,Monkey Captain ,
153,雷电之主,Lord of Lightning ,
161,紫兔子巡逻兵,Purple Rabbit Patrol ,
162,长舌中队长,Long-tongued Commander ,
163,暗影之主,Lord of Shadow ,
171,灰兔子巡逻兵,Gray Rabbit Patrol ,
172,大脚督查,Bigfoot Inspection ,
173,大地之主,Lord of the Earth ,
211,红兔子夹击,Red Rabbit Attack ,
212,恐怖大眼,Horror Oxeye,
213,火焰的恶意,The Malice of Flame,
214,吸血鬼的管家,Vampire Housekeeper ,
215,烈火猛攻,Raging Fire Onslaught,
221,蓝兔子夹击,Blue Rabbit Attack ,
222,雪山怪影,Shadow of Jokul,
223,冰雪的恶意,The Malice of Snow ,
224,老女人的美容术,Cosmetic Old Woman,
225,寒冰猛攻,Ice Onslaught ,
231,绿兔子夹击,Green Rabbit Attack,
232,巨嘴飞翔,Toucan Flying,
233,阴风的恶意,The Malice of Chilly Wind ,
234,妖精爱偷梦,Dreaming Fairy,
235,暴风猛攻,Storm Onslaught ,
241,黄兔子夹击,Yellow Rabbit Attack,
242,恶作剧之王,King of Prank,
243,闪电的恶意,The Malice of Lightning,
244,人造新娘,Artificial Bride ,
245,雷暴猛攻,Thunderstorms Onslaught ,
251,紫兔子夹击,Purple Rabbit Attack,
252,滑滑大长舌,Big Slippery Tongues ,
253,黑夜的恶意,The Malice of Night ,
254,女仆也疯狂,Crazy Maid ,
255,暗影猛攻,Shadow Onslaught ,
261,灰兔子夹击,Gray Rabbit Attack,
262,大脚来袭,Bigfoot Strikes ,
263,岩石的恶意,The Malice of Rock,
264,魔法见习生,Magic Trainees ,
265,大地猛攻,Earth Onslaught ,
271,兔子围攻计划,Rabbit Siege Plan,
272,第一次集体任务,The First Collective Task ,
273,猛犬出笼,Bulldog Came Out,
274,各怀鬼胎的魔女,Crafty Witch ,
275,亡灵格斗会,Undead Fighting Match,
311,天生的战斗猛兽,Fighting Beast of Nature,
312,恶魔管家术,Demon Housekeeper,
