questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10111,1,199,10,1,3,2000,199,1,50,,
10111,2,200,20,1,10,7500,200,1,30,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10112,1,201,192,1,25,30000,201,1,20,,
10112,2,200,20,1,10,7500,200,1,30,,
10112,3,199,10,1,3,2000,199,1,90,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10113,1,201,960,1,25,30000,201,1,33,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10121,1,187,10,1,3,2000,187,1,50,,
10121,2,188,20,1,10,7500,188,1,30,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10122,1,189,576,1,25,30000,189,1,20,,
10122,2,188,20,1,10,7500,188,1,50,,
10122,3,187,10,1,3,2000,187,1,90,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10123,1,189,960,1,25,30000,189,1,33,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10131,1,190,10,1,3,2000,190,1,50,,
10131,2,191,20,1,10,7500,191,1,30,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10132,1,192,192,1,25,30000,192,1,20,,
10132,2,191,20,1,10,7500,191,1,50,,
10132,3,190,10,1,3,2000,190,1,90,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10133,1,192,960,1,25,30000,192,1,33,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10141,1,193,10,1,3,2000,193,1,50,,
10141,2,194,20,1,10,7500,194,1,30,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10142,1,195,192,1,25,30000,195,1,20,,
10142,2,194,20,1,10,7500,194,1,30,,
10142,3,193,10,1,3,2000,193,1,90,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10143,1,195,960,1,25,30000,195,1,33,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10151,1,196,10,1,3,2000,196,1,50,,
10151,2,197,20,1,10,7500,197,1,30,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10152,1,198,192,1,25,30000,198,1,20,,
10152,2,197,20,1,10,7500,197,1,30,,
10152,3,196,10,1,3,2000,196,1,90,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10153,1,198,960,1,25,30000,198,1,33,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10161,1,202,10,1,3,2000,202,1,50,,
10161,2,203,20,1,10,7500,203,1,30,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10162,1,204,192,1,25,30000,204,1,20,,
10162,2,203,20,1,10,7500,203,1,30,,
10162,3,202,10,1,3,2000,202,1,90,,
,,,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate,,
10163,1,204,960,1,25,30000,204,1,33,,
