questId,stamina,coin,exp,floor
10111,15,38,10,1
10112,25,55,50,1
10113,40,120,100,1
,,,,
questId,stamina,coin,exp,floor
10121,15,38,10,1
10122,25,55,50,1
10123,40,120,100,1
,,,,
questId,stamina,coin,exp,floor
10131,15,38,10,1
10132,25,55,50,1
10133,40,120,100,1
,,,,
questId,stamina,coin,exp,floor
10141,15,38,10,1
10142,25,55,50,1
10143,40,120,100,1
,,,,
questId,stamina,coin,exp,floor
10151,15,38,10,1
10152,25,55,50,1
10153,40,120,100,1
,,,,
questId,stamina,coin,exp,floor
10161,15,38,10,1
10162,25,55,50,1
10163,40,120,100,1
