questId,keyNum,treasureNum,trapNum,enemyNum,,
10161,1,5,2,15,,
,,,,,,
questId,star,starNum,treasure,trap,enemyPool,enemyNum
10161,1,8,5|10,3:1|,202,3|4
10161,2,5,5|10,3:1|,202,3|4
10161,3,5,5|10,3:1|,202,3|4
10161,4,2,5|10,3:1|,202|202|202|202|203,1|1
10161,5,2,5|10,3:1|,202|202|202|203,2|2
10161,6,2,5|10,3:2|,202|202|203,1|1
10161,!,1,10|15,3:2|,202|202|202|202|203,4|4
,,,,,,
questId,keyNum,treasureNum,trapNum,enemyNum,,
10162,2,5,2,15,,
,,,,,,
questId,star,starNum,treasure,trap,enemyPool,enemyNum
10162,1,8,5|10,3:1|,202,3|4
10162,2,5,5|10,3:1|,202,4|5
10162,3,5,5|10,3:1|,202,5|6
10162,4,2,5|10,3:1|,202|202|202|203|203|203|202,1|3
10162,5,2,5|10,3:1|,202|202|203|203|203|202,2|3
10162,6,2,5|10,3:2|,202|203|203|203|202,3|3
10162,!,1,10|15,3:2|,203,1|1
,,,,,,
questId,keyNum,treasureNum,trapNum,enemyNum,,
10163,2,10,2,10,,
,,,,,,
questId,star,starNum,treasure,trap,enemyPool,enemyNum
10163,1,3,5|10,3:1|,203,1|1
10163,2,4,5|10,3:1|,203,1|2
10163,3,6,5|10,3:1|,203,2|2
10163,4,6,5|10,3:1|,203|203|203|204,1|2
10163,5,3,5|10,3:1|,203|203|203|204,2|3
10163,6,2,5|10,3:2|,203|203|203|204,3|3
10163,!,1,10|15,3:2|,203|203|203|204,1|1
