questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate
10211,1,55,59,3,187,4,55,1,0.01
10211,2,67,107,2,213,6,67,1,0.01
10211,3,79,86,3,347,6,79,1,0.01
10211,4,91,144,3,1407,36,91,1,0.01
10211,5,103,203,3,667,20,103,1,0.01
10211,6,57,45,3,143,3,57,1,0.01
10211,7,69,79,2,157,4,69,1,0.01
10211,8,81,84,3,340,6,81,1,0.01
10211,9,93,216,4,1287,0,93,1,0.01
10211,10,105,153,3,504,15,105,1,0.01
10211,11,59,75,3,240,4,59,1,0.01
10211,12,71,123,2,300,6,71,1,0.01
10211,13,83,141,3,480,6,83,1,0.01
10211,14,95,204,3,1740,36,95,1,0.01
10211,15,107,235,3,773,20,107,1,0.01
10212,1,55,471,2,1924,21,55,1,0.01
10212,2,67,592,3,2664,40,67,1,0.01
10212,3,79,703,3,3730,21,79,1,0.01
10212,4,91,1034,4,8062,0,91,1,0.01
10212,5,103,509,3,5480,21,103,1,0.01
10212,6,172,237,1,10,3000,172,1,0.01
10212,7,57,390,2,2072,21,57,1,0.01
10212,8,69,500,3,2944,50,69,1,0.01
10212,9,81,625,3,5234,21,81,1,0.01
10212,10,93,968,4,9465,0,93,1,0.01
10212,11,105,509,3,5480,21,105,1,0.01
10212,12,173,237,1,10,3000,173,1,0.01
10212,13,59,471,2,1924,21,59,1,0.01
10212,14,71,300,2,1971,40,71,1,0.01
10212,15,83,501,2,2897,21,83,1,0.01
10212,16,95,741,3,6768,0,95,1,0.01
10212,17,107,362,2,3405,21,107,1,0.01
10212,18,174,237,1,10,3000,174,1,0.01
,,,,,,,,,
questId,enemyId,unitId,atk,next,hp,defence,dropId,dropLv,dropRate
10221,1,49,59,3,187,4,49,1,0.01
10221,2,61,107,2,213,6,61,1,0.01
10221,3,73,86,3,347,6,73,1,0.01
10221,4,85,144,3,1407,36,85,1,0.01
10221,5,97,203,3,667,20,97,1,0.01
10221,6,51,45,3,143,3,51,1,0.01
10221,7,63,79,2,157,4,63,1,0.01
10221,8,75,84,3,340,6,75,1,0.01
10221,9,87,216,4,1287,0,87,1,0.01
10221,10,99,153,3,504,15,99,1,0.01
10221,11,53,75,3,240,4,53,1,0.01
10221,12,65,123,2,300,6,65,1,0.01
10221,13,77,141,3,480,6,77,1,0.01
10221,14,89,204,3,1740,36,89,1,0.01
10221,15,101,235,3,773,20,101,1,0.01
10222,1,49,471,2,1924,21,49,1,0.01
10222,2,61,592,3,2664,40,61,1,0.01
10222,3,73,703,3,3730,21,73,1,0.01
10222,4,85,1034,4,8062,0,85,1,0.01
10222,5,97,509,3,5480,21,97,1,0.01
10222,6,169,237,1,10,3000,169,1,0.01
10222,7,51,390,2,2072,21,51,1,0.01
10222,8,63,500,3,2944,50,63,1,0.01
10222,9,75,625,3,5234,21,75,1,0.01
10222,10,87,968,4,9465,0,87,1,0.01
10222,11,99,509,3,5480,21,99,1,0.01
10222,12,170,237,1,10,3000,170,1,0.01
10222,13,53,471,2,1924,21,53,1,0.01
10222,14,65,300,2,1971,40,65,1,0.01
10222,15,77,501,2,2897,21,77,1,0.01
10222,16,89,741,3,6768,0,89,1,0.01
10222,17,101,362,2,3405,21,101,1,0.01
10222,18,171,237,1,10,3000,171,1,0.01
