"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"11111","1","73","204","4","450","20","73","1","None",
"11111","2","74","128","2","980","45","73","1","None",
"11111","3","49","112","2","650","50","49","1","None",
"11111","4","61","95","1","530","20","61","1","None",
"11111","5","97","308","3","890","125","97","1","None",
"11111","6","121","180","1","2500","80","121","1","None",
"11112","1","73","544","4","1492","45","73","1","None",
"11112","2","74","376","2","1154","20","73","1","None",
"11112","3","97","354","3","3611","125","97","1","None",
"11112","4","98","380","2","4200","150","97","1","None",
"11112","5","121","275","1","1500","40","121","1","None",
"11112","6","62","185","1","1771","20","61","1","None",
"11112","7","122","525","1","4500","80","121","1","None",
"11112","8","109","280","2","2500","50","109","1","None",
"11112","9","110","540","2","3500","150","109","1","None",
"11113","1","205","580","1","1589","600","205","1","None",
"11113","2","50","980","2","5800","25","49","1","None",
"11113","3","97","1025","3","10542","35","97","1","None",
"11113","4","98","1554","2","15000","68","97","1","None",
"11113","5","121","2085","3","25841","35","121","1","None",
"11113","6","62","1865","2","15065","35","61","1","None",
"11113","7","122","2500","3","48395","100","121","1","None",
"11113","8","109","1200","2","23506","90","109","1","None",
"11113","9","110","1950","2","35684","60","109","1","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"11121","1","75","222","4","493","21","75","1","None",
"11121","2","76","134","2","1031","46","75","1","None",
"11121","3","51","118","2","685","54","51","1","None",
"11121","4","63","100","1","574","21","63","1","None",
"11121","5","99","330","3","897","126","99","1","None",
"11121","6","123","181","1","2618","84","123","1","None",
"11122","1","75","548","4","1637","46","75","1","None",
"11122","2","76","386","2","1254","21","75","1","None",
"11122","3","99","375","3","3747","136","99","1","None",
"11122","4","100","402","2","4274","151","99","1","None",
"11122","5","123","283","1","1534","44","123","1","None",
"11122","6","64","198","1","1782","21","63","1","None",
"11122","7","124","565","1","4507","85","123","1","None",
"11122","8","111","295","2","2679","52","111","1","None",
"11122","9","112","570","2","3779","161","111","1","None",
"11123","1","207","632","1","1745","630","207","1","None",
"11123","2","52","1059","2","6202","26","51","1","None",
"11123","3","99","1041","3","11224","37","99","1","None",
"11123","4","100","1622","2","15795","71","99","1","None",
"11123","5","123","2185","3","28077","38","123","1","None",
"11123","6","64","1878","2","15839","36","63","1","None",
"11123","7","124","2682","3","51074","102","123","1","None",
"11123","8","111","1235","2","25209","99","111","1","None",
"11123","9","112","2075","2","37381","62","111","1","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"11131","1","77","219","4","475","22","77","1","None",
"11131","2","78","132","2","1002","49","77","1","None",
"11131","3","53","121","2","666","53","53","1","None",
"11131","4","65","99","1","581","22","65","1","None",
"11131","5","101","337","3","902","131","101","1","None",
"11131","6","125","198","1","2607","82","125","1","None",
"11132","1","77","552","4","1639","48","77","1","None",
"11132","2","78","400","2","1176","22","77","1","None",
"11132","3","101","371","3","3890","133","101","1","None",
"11132","4","102","384","2","4207","159","101","1","None",
"11132","5","125","279","1","1522","42","125","1","None",
"11132","6","66","204","1","1939","22","65","1","None",
"11132","7","126","560","1","4709","85","125","1","None",
"11132","8","113","286","2","2532","52","113","1","None",
"11132","9","114","570","2","3632","154","113","1","None",
"11133","1","209","598","1","1733","653","209","1","None",
"11133","2","54","1060","2","6144","27","53","1","None",
"11133","3","101","1086","3","10791","36","101","1","None",
"11133","4","102","1640","2","15184","69","101","1","None",
"11133","5","125","2214","3","26199","37","125","1","None",
"11133","6","66","2000","2","15926","36","65","1","None",
"11133","7","126","2675","3","49993","103","125","1","None",
"11133","8","113","1224","2","25050","93","113","1","None",
"11133","9","114","1976","2","36302","63","113","1","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"11141","1","79","223","4","453","21","79","1","None",
"11141","2","80","130","2","1069","49","79","1","None",
"11141","3","55","119","2","679","51","55","1","None",
"11141","4","67","98","1","564","22","67","1","None",
"11141","5","103","337","3","926","135","103","1","None",
"11141","6","127","192","1","2743","86","127","1","None",
"11142","1","79","581","4","1516","46","79","1","None",
"11142","2","80","406","2","1187","21","79","1","None",
"11142","3","103","358","3","3936","133","103","1","None",
"11142","4","104","397","2","4466","159","103","1","None",
"11142","5","127","301","1","1634","43","127","1","None",
"11142","6","68","189","1","1793","22","67","1","None",
"11142","7","128","538","1","4626","81","127","1","None",
"11142","8","115","287","2","2620","51","115","1","None",
"11142","9","116","544","2","3506","164","115","1","None",
"11143","1","211","613","1","1665","612","211","1","None",
"11143","2","56","1036","2","6121","27","55","1","None",
"11143","3","103","1087","3","11330","37","103","1","None",
"11143","4","104","1650","2","15849","72","103","1","None",
"11143","5","127","2113","3","26060","37","127","1","None",
"11143","6","68","2014","2","15197","38","67","1","None",
"11143","7","128","2523","3","52539","105","127","1","None",
"11143","8","115","1303","2","25764","97","115","1","None",
"11143","9","116","1984","2","38703","62","115","1","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"11151","1","81","213","4","456","21","81","1","None",
"11151","2","82","133","2","1046","47","81","1","None",
"11151","3","57","117","2","659","54","57","1","None",
"11151","4","69","105","1","548","21","69","1","None",
"11151","5","105","313","3","957","128","105","1","None",
"11151","6","129","185","1","2741","81","129","1","None",
"11152","1","81","553","4","1512","46","81","1","None",
"11152","2","82","377","2","1254","21","81","1","None",
"11152","3","105","376","3","3619","127","105","1","None",
"11152","4","106","382","2","4612","157","105","1","None",
"11152","5","129","277","1","1558","43","129","1","None",
"11152","6","70","203","1","1827","21","69","1","None",
"11152","7","130","529","1","4595","86","129","1","None",
"11152","8","117","289","2","2607","52","117","1","None",
"11152","9","118","581","2","3696","162","117","1","None",
"11153","1","213","600","1","1620","634","213","1","None",
"11153","2","58","1033","2","5955","27","57","1","None",
"11153","3","105","1083","3","11076","38","105","1","None",
"11153","4","106","1613","2","16116","73","105","1","None",
"11153","5","129","2267","3","27694","38","129","1","None",
"11153","6","70","1958","2","16521","36","69","1","None",
"11153","7","130","2713","3","50138","107","129","1","None",
"11153","8","117","1265","2","24876","97","117","1","None",
"11153","9","118","1978","2","39208","66","117","1","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"11161","1","83","219","4","453","22","83","1","None",
"11161","2","84","130","2","995","49","83","1","None",
"11161","3","59","117","2","692","55","59","1","None",
"11161","4","71","103","1","560","22","71","1","None",
"11161","5","107","311","3","946","135","107","1","None",
"11161","6","131","198","1","2703","81","131","1","None",
"11162","1","83","597","4","1518","50","83","1","None",
"11162","2","84","386","2","1164","21","83","1","None",
"11162","3","107","386","3","3669","126","107","1","None",
"11162","4","108","382","2","4433","152","107","1","None",
"11162","5","131","298","1","1606","41","131","1","None",
"11162","6","72","189","1","1882","21","71","1","None",
"11162","7","132","541","1","4726","84","131","1","None",
"11162","8","119","301","2","2600","52","119","1","None",
"11162","9","120","564","2","3784","155","119","1","None",
"11163","1","215","622","1","1655","652","215","1","None",
"11163","2","60","983","2","6015","27","59","1","None",
"11163","3","107","1036","3","10966","38","107","1","None",
"11163","4","108","1621","2","16210","70","107","1","None",
"11163","5","131","2223","3","27735","37","131","1","None",
"11163","6","72","2004","2","15615","38","71","1","None",
"11163","7","132","2732","3","50334","107","131","1","None",
"11163","8","119","1223","2","24613","92","119","1","None",
"11163","9","120","2028","2","36192","63","119","1","None",

