"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"21","1","157","30","3","58","1","157","1","30",
"21","2","163","20","2","62","1","163","1","30",
"21","3","49","59","3","187","4","49","2","35",
"21","4","61","67","2","213","6","61","2","25",
"21","5","73","54","3","347","6","73","2","15",
"21","6","97","103","3","667","20","97","2","5",
"21","7","85","160","4","1760","0","85","2","10",
"21","8","181","158","2","450","0","181","2","20",
"21","9","175","115","3","280","0","175","2","20",
"21","10","187","10","1","3","2000","187","1","20",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"22","1","158","30","3","58","1","158","1","30",
"22","2","164","20","2","62","1","164","1","30",
"22","3","51","45","3","143","3","51","2","35",
"22","4","63","79","2","157","4","63","2","25",
"22","5","75","84","3","340","6","75","2","15",
"22","6","99","153","3","504","15","99","2","5",
"22","7","87","160","4","1287","0","87","2","10",
"22","8","182","158","2","450","0","182","2","20",
"22","9","176","115","3","280","0","176","2","20",
"22","10","190","10","1","3","2000","190","1","20",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"23","1","159","30","3","58","1","159","1","30",
"23","2","165","20","2","62","1","165","1","30",
"23","3","53","75","3","240","4","53","2","35",
"23","4","65","123","2","267","6","65","2","25",
"23","5","77","141","3","480","6","77","2","15",
"23","6","101","235","3","773","20","101","2","5",
"23","7","89","165","4","2027","0","89","2","10",
"23","8","183","158","2","450","0","183","2","20",
"23","9","177","115","3","280","0","177","2","20",
"23","10","193","10","1","3","2000","193","1","20",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"24","1","160","30","3","58","1","160","1","30",
"24","2","166","20","2","62","1","166","1","30",
"24","3","55","118","3","383","5","55","2","35",
"24","4","67","167","2","382","8","67","2","25",
"24","5","79","141","3","452","8","79","2","15",
"24","6","103","264","3","1147","25","103","2","5",
"24","7","91","188","4","2290","0","91","2","10",
"24","8","184","158","2","450","0","184","2","20",
"24","9","178","115","3","280","0","178","2","20",
"24","10","196","10","1","3","2000","196","1","20",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"25","1","161","30","3","58","1","161","1","30",
"25","2","167","20","2","62","1","167","1","30",
"25","3","57","125","3","417","5","57","2","35",
"25","4","69","188","3","450","8","69","2","25",
"25","5","81","209","3","520","8","81","2","15",
"25","6","105","313","3","1217","25","105","2","5",
"25","7","93","200","4","2467","0","93","2","10",
"25","8","185","158","2","450","0","185","2","20",
"25","9","179","115","3","280","0","179","2","20",
"25","10","199","10","1","3","2000","199","1","20",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"26","1","162","30","3","58","1","162","1","30",
"26","2","168","20","2","62","1","168","1","30",
"26","3","59","95","2","400","5","59","2","35",
"26","4","71","175","2","556","9","71","2","25",
"26","5","83","209","3","520","8","83","2","15",
"26","6","107","313","3","1217","25","107","2","5",
"26","7","95","276","4","2824","0","95","2","10",
"26","8","186","158","2","450","0","186","2","20",
"26","9","180","115","3","280","0","180","2","20",
"26","10","202","10","1","3","2000","202","1","20",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"27","1","49","59","3","187","4","49","2","35",
"27","2","51","45","3","143","3","51","2","35",
"27","3","53","75","3","240","4","53","2","35",
"27","4","61","107","2","213","6","61","2","25",
"27","5","63","79","2","157","4","63","2","25",
"27","6","65","123","2","267","6","65","2","25",
"27","7","73","86","3","347","6","73","2","15",
"27","8","75","84","3","340","6","75","2","15",
"27","9","77","141","3","480","6","77","2","15",
"27","10","97","203","3","667","20","97","3","5",
"27","11","99","153","3","504","15","99","3","5",
"27","12","101","235","3","773","20","101","3","5",
"27","13","85","177","3","2907","36","85","2","10",
"27","14","87","312","4","1287","0","87","2","10",
"27","15","89","204","3","3440","36","89","2","10",
"27","16","91","225","3","4480","45","91","2","10",
"27","17","93","215","3","2467","0","93","2","10",
"27","18","95","313","4","2824","0","95","2","10",
"27","19","187","10","1","3","2000","187","1","20",
"27","20","190","10","1","3","2000","190","1","20",
"27","21","193","10","1","3","2000","193","1","20",

