"stageId","风","火","水","光","闇","无","心",
"31","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"32","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"33","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"34","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"35","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"36","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"37","14","14","14","14","14","14","16",

