"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"41","1","62","580","1","1850","49","61","5","15",
"41","2","74","960","3","2580","49","73","5","15",
"41","3","86","867","3","7720","578","85","5","30",
"41","4","98","1875","3","1763","41","97","6","10",
"41","5","205","1350","2","1440","210","205","5","5",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"42","1","64","540","1","1952","49","63","5","15",
"42","2","76","1167","3","2658","49","75","5","15",
"42","3","88","944","3","7858","0","87","5","30",
"42","4","100","1842","3","1795","41","99","6","10",
"42","5","207","1400","2","1451","210","207","5","5",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"43","1","66","528","1","1569","49","65","5","15",
"43","2","78","1228","3","3394","49","77","5","15",
"43","3","90","1279","3","6296","0","89","5","30",
"43","4","102","478","3","3009","49","101","6","10",
"43","5","209","1258","2","800","0","209","5","5",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"44","1","68","613","1","1846","49","67","5","15",
"44","2","80","1859","3","2920","49","79","5","15",
"44","3","92","986","1","14584","0","91","5","30",
"44","4","104","917","3","6042","41","103","6","10",
"44","5","211","1139","2","5522","210","211","5","5",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"45","1","70","1218","1","3598","49","69","5","15",
"45","2","82","1228","3","5920","49","81","5","15",
"45","3","94","2294","3","27619","0","93","5","30",
"45","4","106","1760","3","11599","41","105","6","10",
"45","5","213","1854","2","14441","210","213","5","5",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"46","1","72","1303","1","3849","49","71","5","15",
"46","2","84","1314","3","6334","49","83","5","15",
"46","3","96","2454","3","29552","0","95","5","30",
"46","4","108","1883","3","12409","41","107","6","10",
"46","5","215","3187","2","15449","210","215","5","5",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"47","1","62","1027","2","2850","49","61","5","15",
"47","2","66","1027","2","2331","49","65","5","15",
"47","3","70","1218","2","3598","49","69","5","15",
"47","4","76","1556","3","5662","49","75","5","15",
"47","5","80","1637","3","5920","49","79","5","15",
"47","6","84","1752","3","6334","49","83","5","15",
"47","7","86","1675","3","7720","0","85","5","30",
"47","8","102","984","2","3009","49","101","6","10",
"47","9","104","1859","3","6042","41","103","6","10",
"47","10","213","1111","1","3250","210","213","5","5",
"47","11","215","1254","1","4589","210","215","5","5",

