"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"511","1","49","750","3","13546","25","49","5","15",
"511","2","49","750","3","13546","25","49","5","15",
"511","3","49","750","3","13546","25","49","5","15",
"511","4","49","750","3","13546","25","49","5","15",
"511","5","49","750","3","13546","25","49","5","15",
"511","6","49","750","3","13546","25","49","5","15",
"512","1","62","850","2","4725","70","61","5","10",
"512","2","297","1300","2","54584","300","62","5","30",
"512","3","66","980","2","4800","70","65","5","10",
"513","1","205","1179","3","15058","260","205","5","3",
"513","2","210","5405","4","58400","325","209","5","3",
"513","3","205","1179","3","15058","260","205","5","3",
"514","1","110","2271","2","58000","225","109","5","5",
"514","2","114","1805","2","48000","225","113","5","5",
"515","1","98","3580","3","37500","580","97","5","25",
"515","2","98","3580","3","37500","580","97","5","25",
"515","3","98","3580","3","37500","580","97","5","25",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"521","1","51","817","3","13549","90","51","9","15",
"521","2","51","817","3","13549","90","51","9","15",
"521","3","51","817","3","13549","90","51","9","15",
"521","4","51","817","3","13549","90","51","9","15",
"521","5","51","817","3","13549","90","51","9","15",
"521","6","51","817","3","13549","90","51","9","15",
"522","1","64","947","2","4733","97","63","5","10",
"522","2","298","1302","2","54633","366","64","7","30",
"522","3","62","1032","2","4863","134","61","10","10",
"523","1","207","1248","3","15122","275","207","5","3",
"523","2","206","5481","4","58404","341","205","6","3",
"523","3","207","1248","3","15122","275","207","5","3",
"524","1","112","2266","2","58050","312","111","8","5",
"524","2","110","1897","2","48007","301","109","9","5",
"525","1","100","3673","3","37541","680","99","6","25",
"525","2","100","3673","3","37541","680","99","6","25",
"525","3","100","3673","3","37541","680","99","6","25",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"531","1","53","914","3","13559","87","53","9","15",
"531","2","53","914","3","13559","87","53","9","15",
"531","3","53","914","3","13559","87","53","9","15",
"531","4","53","914","3","13559","87","53","9","15",
"531","5","53","914","3","13559","87","53","9","15",
"531","6","53","914","3","13559","87","53","9","15",
"532","1","65","962","2","4759","169","65","7","None",
"532","2","299","1345","2","54729","429","66","9","30",
"532","3","64","1119","2","4914","170","63","9","10",
"533","1","209","1258","3","15199","280","209","5","3",
"533","2","208","5533","4","58483","385","207","7","3",
"533","3","209","1258","3","15199","280","209","5","3",
"534","1","114","2334","2","58108","316","113","6","5",
"534","2","112","1891","2","48070","337","111","5","5",
"535","1","102","3715","3","37624","686","101","9","25",
"535","2","102","3715","3","37624","686","101","9","25",
"535","3","102","3715","3","37624","686","101","9","25",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"541","1","55","941","3","13639","162","55","5","15",
"541","2","55","941","3","13639","162","55","5","15",
"541","3","55","941","3","13639","162","55","5","15",
"541","4","55","941","3","13639","162","55","5","15",
"541","5","55","941","3","13639","162","55","5","15",
"541","6","55","941","3","13639","162","55","5","15",
"542","1","68","972","2","4803","193","67","7","10",
"542","2","300","1441","2","54792","420","68","5","30",
"542","3","70","1204","2","4980","168","69","6","10",
"543","1","211","1303","3","15277","364","211","10","3",
"543","2","214","5543","4","58542","375","213","10","3",
