"questId","keyNum","treasureNum","trapNum","enemyNum",
"641","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"641","1","6","450|460","8:3|7:3|","56|178","2|3",
"641","2","5","750|760","8:3|7:3|","56|178|172","2|4",
"641","3","5","1150|1250","8:3|7:3|","178|172|91","3|4",
"641","4","2","1550|1650","8:3|7:3|2:3|","172|172|91|91","3|4",
"641","5","2","1950|2050","8:3|7:3|2:3|","172|92|91","4|4",
"641","6","2","2450|2550","8:3|7:3|2:3|","92|92|91|91","2|2",
"641","!","3","2900|3000","8:3|7:3|2:3|","211|211|211|196","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"642","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"642","1","6","450|460","8:3|7:3|","56|178","2|3",
"642","2","5","750|760","8:3|7:3|","56|178|172","2|4",
"642","3","5","1150|1250","8:3|7:3|","178|172|91","3|4",
"642","4","2","1550|1650","8:3|7:3|2:3|","172|172|91|91","3|4",
"642","5","2","1950|2050","8:3|7:3|2:3|","172|92|91","4|4",
"642","6","2","2450|2550","8:3|7:3|2:3|","92|92|91|91","2|2",
"642","!","3","2900|3000","8:3|7:3|2:3|","211|211|211|196","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"643","4","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"643","1","6","450|460","8:3|7:3|","56|178","2|3",
"643","2","5","750|760","8:3|7:3|","56|178|172","2|4",
"643","3","5","1150|1250","8:3|7:3|","178|172|91","3|4",
"643","4","2","1550|1650","8:3|7:3|2:3|","172|172|91|91","3|4",
"643","5","2","1950|2050","8:3|7:3|2:3|","172|92|91","4|4",
"643","6","2","2450|2550","8:3|7:3|2:3|","92|92|91|91","2|2",
"643","!","3","2900|3000","8:3|7:3|2:3|","211|211|211|196","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"644","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"644","1","6","450|460","8:3|7:3|","56|178","2|3",
"644","2","5","750|760","8:3|7:3|","56|178|172","2|4",
"644","3","5","1150|1250","8:3|7:3|","178|172|91","3|4",
"644","4","2","1550|1650","8:3|7:3|2:3|","172|172|91|91","3|4",
"644","5","2","1950|2050","8:3|7:3|2:3|","172|92|91","4|4",
"644","6","2","2450|2550","8:3|7:3|2:3|","92|92|91|91","2|2",
"644","!","3","2900|3000","8:3|7:3|2:3|","211|211|211|196","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"645","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"645","1","6","450|460","8:3|7:3|","56|178","2|3",
"645","2","5","750|760","8:3|7:3|","56|178|172","2|4",
"645","3","5","1150|1250","8:3|7:3|","178|172|91","3|4",
"645","4","2","1550|1650","8:3|7:3|2:3|","172|172|91|91","3|4",
"645","5","2","1950|2050","8:3|7:3|2:3|","172|92|91","4|4",
"645","6","2","2450|2550","8:3|7:3|2:3|","92|92|91|91","2|2",
"645","!","3","2900|3000","8:3|7:3|2:3|","211|211|211|196","3|3",

