"id","name","series","type","race","cost","star","maxLv","maxExp","minHp","maxHp","minAtk","maxAtk","hpGrow","atkGrow","blendValue","saleValue","leaderSkillName","leaderSkillEffect","activeSkillName","activeSkillEffect","activeSkillFactor","normalSkillName","normalSkillEffect","normalSkillFactor"," normalSkillColors","normalSkillName2","normalSkillEffect2","normalSkillFactor2"," normalSkillColors2","passiveSkillName","passiveSkillEffect","getPath1","getPath2","getPath3","evolveParts","evoFriendType","evoFriendRace,"evoFriendLv"
"001","赤音 — Akane","主角","火","人类","2","3","5","632","52","152","57","77","早熟","早熟","100","50","火属性提升：攻击 — Fire Rise: Assault","所有火属性Unit的ATK提升至1.5倍","闪燃新星 — Flare Nova","对全体敌人造成3倍ATK的火属性攻击","3","点燃 — Ignite","对单体敌人造成1.0倍ATK的火属性攻击","1.0","火 火","","","","","","","有","无","开始游戏时选取的主角","49","Lv.1或以上","不限","任何"
"002","甲士赤音","主角","火","人类","4","4","15","14463","124","498","73","240","早熟","早熟","175","100","火属性提升：攻击 — Fire Rise: Assault","所有火属性Unit的ATK提升至1.5倍","闪燃新星 — Flare Nova","对全体敌人造成3倍ATK的火属性攻击","3","点燃：贰式 — Ignite: Second","对单体敌人造成1.6倍ATK的火属性攻击","1.6","火 火","米吉多‧火焰 — Megiddo Flame","对全体敌人造成1.0倍ATK的火属性攻击","1.0","火 火 火 火 火","","","无","无","进化","62 49","Lv.10或以上","不限","火"
"003","炎甲士赤音","主角","火","人类","6","5","35","132934","400","979","212","516","早熟","早熟","350","150","火属性提升：攻击 — Fire Rise: Assault","所有火属性Unit的ATK提升至1.5倍","熔岩新星 — Lava Nova","对全体敌人造成10倍ATK的火属性攻击","10","点燃：叁式 — Ignite: Third","对单体敌人造成2.3倍ATK的火属性攻击","2.3","火 火","米吉多‧火焰 — Megiddo Flame","对全体敌人造成1.0倍ATK的火属性攻击","1.0","火 火 火 火 火","","","无","无","进化","181 62 50","Lv.25或以上","不限","火"
"004","火炎甲士赤音","主角","火","人类","10","6","99","3500000","778","2147","429","806","早熟","早熟","500","200","火属性提升：攻击Ⅱ — Fire Rise: AssaultII","所有火属性Unit的ATK提升至2.0倍","熔岩新星 — Lava Nova","对全体敌人造成10倍ATK的火属性攻击","10","点燃：烈焰 — Ignite: Homura","对单体敌人造成2.3倍ATK的火属性攻击","2.3","火 火","米吉多‧炼狱 — Megiddo Inferno","对全体敌人造成1.0倍ATK的火属性攻击","1.0","火 火 火 火 火","","","无","无","进化","","不限","不限","0"
"005","苍人 — Aoto","主角","水","人类","2","3","5","632","62","167","42","69","早熟","早熟","100","50","水属性提升：攻击 — Aqua Rise: Assault","所有水属性Unit的ATK提升至1.5倍","寒冷冰川 — Cold Glacier","对全体敌人造成3倍ATK的水属性攻击","3","海神 — Watatsumi","对单体敌人造成1.0倍ATK的水属性攻击","1.0","水 水","","","","","","","有","无","开始游戏时选取的主角","51","Lv.1或以上","不限","任何"
"006","刀士苍人","主角","水","人类","4","4","15","14463","127","528","57","235","早熟","早熟","175","100","水属性提升：攻击 — Aqua Rise: Assault","所有水属性Unit的ATK提升至1.5倍","寒冷冰川 — Cold Glacier","对全体敌人造成3倍ATK的水属性攻击","3","海神：贰式 — Watatsumi: Second","对单体敌人造成1.0倍ATK的水属性攻击","1.0","水 水","片刻‧零度 — Moment Zero","对全体敌人造成1.0倍ATK的水属性攻击","1.0","水 水 水 水 水","","","无","无","进化","64 51","Lv.10或以上","不限","水"
"007","水刀士苍人","主角","水","人类","6","5","35","132934","424","1007","198","480","早熟","早熟","350","150","水属性提升：攻击 — Aqua Rise: Assault","所有水属性Unit的ATK提升至1.5倍","冻结冰川 — Freeze Glacier","对全体敌人造成10倍ATK的水属性攻击","10","海神：叁式 — Watatsumi: Third","对单体敌人造成1.6倍ATK的水属性攻击","1.6","水 水","片刻‧零度 — Moment Zero","对全体敌人造成1.0倍ATK的水属性攻击","1.0","水 水 水 水 水","","","无","无","进化","182 64 52","Lv.25或以上","不限","水"
"008","流水刀士苍人","主角","水","人类","10","6","99","3500000","801","2390","439","967","早熟","早熟","500","200","水属性提升：攻击Ⅱ — Aqua Rise: AssaultII","所有水属性Unit的ATK提升至2.0倍","冻结冰川 — Freeze Glacier","对全体敌人造成10倍ATK的水属性攻击","10","海神：灵魂 — Watatsumi: Mabui","对单体敌人造成1.6倍ATK的水属性攻击","1.6","水 水","绝对‧零度 — Absolute Zero","对全体敌人造成1.8倍ATK的水属性攻击","1.8","水 水 水 水 水","","","无","无","进化","","不限","不限","0"
"009","小翠 — Midori","主角","风","人类","2","3","5","632","67","162","32","62","早熟","早熟","100","50","风属性提升：攻击 — Wind Rise: Assault","所有风属性Unit的ATK提升至1.5倍","微风突袭 — Breeze Raid","对全体敌人造成3倍ATK的风属性攻击","3","风神 — Fēngshén","对单体敌人造成1.0倍ATK的风属性攻击","1.0","风 风","","","","","","","有","无","开始游戏时选取的主角","53","Lv.1或以上","不限","任何"
"010","棍士小翠","主角","风","人类","4","4","15","14463","137","560","58","217","早熟","早熟","175","100","风属性提升：攻击 — Wind Rise: Assault","所有风属性Unit的ATK提升至1.5倍","微风突袭 — Breeze Raid","对全体敌人造成3倍ATK的风属性攻击","3","风神：贰式 — Fēngshén: Èr","对单体敌人造成1.0倍ATK的风属性攻击","1.0","风 风","高空‧驾驶 — Aerial Drive","对全体敌人造成1.6倍ATK的风属性攻击","1.6","风 风 风 风 风","","","无","无","进化","66 53","Lv.10或以上","不限","风"
